Gender,Country,Institution Name,Current/Intended Major,Status Description,Status Code,Engaged,Age,Apply Delay (days),Start Delay (days)
1.0,64.0,1288.0,126.0,5.0,1070.0,0.0,-0.6289502473674774,0.5223778601036535,1.0148021729805052e-16
1.0,64.0,1288.0,120.0,2.0,1030.0,0.0,0.05707527098211071,0.8841183639553379,1.0148021729805052e-16
2.0,25.0,903.0,109.0,5.0,1070.0,1.0,-0.17159990180108534,1.0266221988060016,-1.5113233705114635
1.0,64.0,1288.0,120.0,5.0,1070.0,1.0,-0.6289502473674774,1.2458588678070224,0.34116485532004787
1.0,25.0,344.0,106.0,2.0,1030.0,0.0,-0.6289502473674774,-0.595729151801553,1.0148021729805052e-16
2.0,64.0,1288.0,236.0,2.0,1030.0,0.0,0.05707527098211071,1.1910497005567673,1.0148021729805052e-16
2.0,44.0,1499.0,89.0,4.0,1080.0,1.0,0.05707527098211071,-0.6176528187016551,-0.8330276816685409
2.0,25.0,1288.0,236.0,5.0,1070.0,1.0,0.7431007893316989,-0.606690985251604,0.47226402207120094
2.0,25.0,1765.0,106.0,2.0,1030.0,0.0,-1.0863005929338696,-0.6176528187016551,1.0148021729805052e-16
2.0,64.0,505.0,109.0,5.0,1070.0,1.0,-0.4002750745842814,0.401797692153092,0.1473660870792128
1.0,64.0,1288.0,236.0,2.0,1030.0,0.0,-0.17159990180108534,-0.6176528187016551,1.0148021729805052e-16
2.0,44.0,1455.0,109.0,2.0,1030.0,0.0,-1.5436509385002617,-0.5738054849014509,1.0148021729805052e-16
2.0,64.0,1288.0,236.0,2.0,1030.0,0.0,0.05707527098211071,-0.5628436514513998,1.0148021729805052e-16
2.0,64.0,1288.0,236.0,2.0,1030.0,0.0,-0.17159990180108534,-0.606690985251604,1.0148021729805052e-16
2.0,25.0,1721.0,158.0,5.0,1070.0,1.0,-1.3149757657170655,2.462622380762688,0.5235636960173043
2.0,64.0,1375.0,236.0,2.0,1030.0,0.0,-0.17159990180108534,-0.5738054849014509,1.0148021729805052e-16
1.0,64.0,1288.0,236.0,5.0,1070.0,1.0,-0.4002750745842814,1.0046985319058994,-0.2573313407178251
2.0,25.0,731.0,128.0,2.0,1030.0,0.0,-0.17159990180108534,-0.606690985251604,1.0148021729805052e-16
1.0,17.0,211.0,286.0,5.0,1070.0,1.0,-1.0863005929338696,-0.6176528187016551,1.2816588776652769
2.0,25.0,713.0,109.0,2.0,1030.0,0.0,-0.6289502473674774,-0.15725581379951123,1.0148021729805052e-16
2.0,25.0,1419.0,112.0,2.0,1030.0,0.0,-0.8576254201506734,-0.6176528187016551,1.0148021729805052e-16
2.0,64.0,1288.0,32.0,7.0,1110.0,1.0,0.05707527098211071,-0.595729151801553,-0.6905285873738093
2.0,64.0,1288.0,236.0,5.0,1070.0,1.0,0.2857504437653068,-0.6176528187016551,-1.4600236965653601
2.0,25.0,1536.0,106.0,2.0,1030.0,0.0,-1.0863005929338696,-0.6176528187016551,1.0148021729805052e-16
1.0,45.0,76.0,107.0,4.0,1080.0,1.0,0.05707527098211071,-0.6176528187016551,-0.8102278265813838
1.0,44.0,1047.0,78.0,2.0,1030.0,0.0,1.200451134898091,1.903568874810085,1.0148021729805052e-16
1.0,64.0,1288.0,79.0,1.0,1050.0,0.0,-0.4002750745842814,-0.23398864794986854,1.0148021729805052e-16
2.0,64.0,1288.0,19.0,2.0,1030.0,0.0,-0.4002750745842814,-0.4313016500507873,1.0148021729805052e-16
1.0,64.0,1288.0,236.0,2.0,1030.0,0.0,-0.17159990180108534,1.4541337033579922,1.0148021729805052e-16
2.0,64.0,1288.0,236.0,5.0,1070.0,1.0,-0.17159990180108534,-0.06956114619910286,0.9567609426732887
2.0,25.0,1237.0,237.0,5.0,1070.0,1.0,-0.6289502473674774,-0.6176528187016551,-1.1465256891169504
1.0,25.0,846.0,272.0,5.0,1070.0,1.0,1.6578014804644832,-0.6176528187016551,1.2474590950345412
2.0,25.0,1193.0,106.0,2.0,1030.0,0.0,-0.17159990180108534,0.9827748650057974,1.0148021729805052e-16
2.0,45.0,953.0,338.0,4.0,1080.0,1.0,-0.4002750745842814,-0.6176528187016551,-0.8444276092121195
1.0,64.0,1288.0,236.0,2.0,1030.0,0.0,0.2857504437653068,-0.46418715040094044,1.0148021729805052e-16
1.0,64.0,138.0,79.0,2.0,1030.0,0.0,0.2857504437653068,-0.8588131546027781,1.0148021729805052e-16
1.0,25.0,1024.0,153.0,5.0,1070.0,1.0,-0.17159990180108534,1.3335535354074308,1.7433559431802075
2.0,23.0,638.0,113.0,4.0,1080.0,1.0,0.05707527098211071,-0.6176528187016551,-0.7190284062327557
1.0,25.0,1428.0,65.0,2.0,1030.0,0.0,-0.8576254201506734,-0.595729151801553,1.0148021729805052e-16
2.0,25.0,1288.0,109.0,2.0,1030.0,0.0,-0.4002750745842814,2.111843710361055,1.0148021729805052e-16
2.0,64.0,1288.0,236.0,2.0,1030.0,0.0,0.2857504437653068,0.7854618629048785,1.0148021729805052e-16
1.0,25.0,1744.0,109.0,2.0,1030.0,0.0,-0.17159990180108534,0.401797692153092,1.0148021729805052e-16
1.0,25.0,773.0,106.0,5.0,1070.0,1.0,-0.6289502473674774,-0.6176528187016551,0.28986518137394446
1.0,25.0,14.0,109.0,5.0,1070.0,1.0,0.2857504437653068,-0.26687414830002165,-1.0211264861375866
2.0,25.0,1271.0,106.0,2.0,1030.0,0.0,-0.8576254201506734,-0.6176528187016551,1.0148021729805052e-16
2.0,64.0,1288.0,109.0,5.0,1070.0,0.0,-0.4002750745842814,-0.595729151801553,1.0148021729805052e-16
1.0,64.0,1288.0,346.0,5.0,1070.0,1.0,-0.17159990180108534,-0.6176528187016551,-2.0471199650596548
1.0,64.0,1288.0,113.0,4.0,1080.0,1.0,0.2857504437653068,-0.47514898385099147,-0.21173163054351096
1.0,44.0,1288.0,91.0,2.0,1030.0,0.0,1.200451134898091,-0.6176528187016551,1.0148021729805052e-16
2.0,64.0,1288.0,107.0,2.0,1030.0,0.0,0.05707527098211071,-0.6176528187016551,1.0148021729805052e-16
2.0,64.0,1288.0,109.0,0.0,1010.0,0.0,-0.17159990180108534,1.7391413730593195,1.0148021729805052e-16
2.0,25.0,1138.0,34.0,2.0,1030.0,0.0,-0.8576254201506734,-0.6176528187016551,1.0148021729805052e-16
1.0,18.0,881.0,109.0,5.0,1070.0,1.0,-1.5436509385002617,-0.6176528187016551,0.22716557988426253
1.0,64.0,1288.0,107.0,2.0,1030.0,0.0,-0.17159990180108534,0.20448469005217323,1.0148021729805052e-16
2.0,64.0,1288.0,109.0,2.0,1030.0,0.0,-0.6289502473674774,1.0923931995063079,1.0148021729805052e-16
2.0,23.0,834.0,378.0,4.0,1080.0,1.0,0.2857504437653068,-0.6176528187016551,-0.8387276454403302
2.0,64.0,1288.0,109.0,2.0,1030.0,0.0,-0.17159990180108534,0.9279656977555422,1.0148021729805052e-16
1.0,17.0,58.0,346.0,5.0,1070.0,1.0,4.17322838107964,0.029095354851356527,-0.4568300727304494
2.0,64.0,1288.0,236.0,5.0,1070.0,0.0,-0.4002750745842814,-0.6176528187016551,1.0148021729805052e-16
1.0,44.0,649.0,319.0,5.0,1070.0,1.0,2.572502171597267,-0.05859931274905183,-1.1237258340297935
2.0,25.0,730.0,120.0,5.0,1070.0,1.0,-0.17159990180108534,1.5856757047586048,0.6717627540838252
2.0,64.0,1288.0,25.0,2.0,1030.0,0.0,1.200451134898091,-0.6176528187016551,1.0148021729805052e-16
2.0,25.0,229.0,113.0,4.0,1080.0,1.0,-0.17159990180108534,-0.6176528187016551,0.07326655804595233
1.0,25.0,372.0,237.0,5.0,1070.0,0.0,0.05707527098211071,1.9912635424104934,1.0148021729805052e-16
1.0,64.0,1288.0,208.0,2.0,1030.0,0.0,0.7431007893316989,-0.6176528187016551,1.0148021729805052e-16
2.0,64.0,1288.0,236.0,5.0,1070.0,0.0,-0.17159990180108534,-0.6176528187016551,1.0148021729805052e-16
2.0,64.0,1288.0,109.0,5.0,1070.0,1.0,-0.6289502473674774,-0.025713812398898694,0.4494641669840439
2.0,44.0,1582.0,345.0,4.0,1080.0,1.0,1.429126307681287,-0.6176528187016551,-0.8501275729839087
2.0,64.0,1288.0,109.0,2.0,1030.0,0.0,-2.4583516296330457,1.0485458657061035,1.0148021729805052e-16
1.0,64.0,1288.0,236.0,2.0,1030.0,0.0,-0.17159990180108534,-0.6176528187016551,1.0148021729805052e-16
